time,class,RMS_ch1,MAV_ch1,RMS_ch2,MAV_ch2,RMS_ch3,MAV_ch3,RMS_ch4,MAV_ch4,RMS_ch5,MAV_ch5,RMS_ch6,MAV_ch6,RMS_ch7,MAV_ch7,RMS_ch8,MAV_ch8
600,0,6.124068247260845e-06,4.949354302071954e-06,9.634161504930309e-06,8.153626067870979e-06,1.1346306467190881e-05,9.278042719328161e-06,1.1404624815424032e-05,9.151645580319896e-06,7.490895092534883e-06,5.077099179287606e-06,8.458382666708775e-06,6.969778921618979e-06,5.380375755846361e-06,3.915927938594351e-06,7.201903362748711e-06,5.314439301628658e-06
652,0,1.2299612402480398e-05,9.559680331877757e-06,1.595194698222733e-05,1.2420733364202922e-05,9.259223881811026e-06,7.24894489898097e-06,6.529766653508948e-06,4.985472773550799e-06,3.3518211975271602e-06,2.0087712822346725e-06,1.1227693411747112e-05,8.48234025282405e-06,8.006052247061958e-06,6.041788994045334e-06,8.052753306125046e-06,6.620739205838739e-06
705,0,1.2605005088332928e-05,9.772030871646787e-06,1.8053444197026744e-05,1.3124254512198426e-05,1.2854195879882245e-05,9.714286724163999e-06,6.01529097044263e-06,4.564583894634773e-06,4.363603567614843e-06,2.3968161366581723e-06,1.0316916969463787e-05,6.743955960699666e-06,7.849896333338419e-06,5.8366125176146144e-06,7.3228176456340685e-06,6.269579169576969e-06
757,0,7.027695439755749e-06,4.996816408255969e-06,1.2218187812011884e-05,7.524750966074558e-06,1.3134065848811587e-05,1.0327024404242395e-05,1.1300544442785198e-05,8.83500261657286e-06,6.549935961876937e-06,3.6681873642421767e-06,3.8669990486126466e-06,2.6358651692074017e-06,6.68350028639702e-06,5.47636260293483e-06,5.878765932771122e-06,4.577757732416791e-06
809,0,6.6559814810398024e-06,4.537285765152524e-06,1.6350279777203518e-05,1.2160579088996108e-05,1.597821507638844e-05,1.3092019972545234e-05,1.7114284097825454e-05,1.5489298976747727e-05,7.988356274815453e-06,5.182976264511469e-06,4.544697932776909e-06,3.2523156324748383e-06,7.890223322999977e-06,6.719106471022519e-06,6.3662268575370905e-06,4.774804016688311e-06
861,0,1.607704143409209e-05,1.1801234053236821e-05,2.0400536410262167e-05,1.672934539785412e-05,2.042484902078254e-05,1.655032098685138e-05,2.097184301914188e-05,1.7406516290472267e-05,1.2944817489553366e-05,9.673164208660896e-06,5.100444023654392e-06,4.03098005883118e-06,7.589590931561273e-06,6.381077676307905e-06,6.339158586554158e-06,4.9391970789196566e-06
914,0,1.720188446379629e-05,1.3687461006956625e-05,1.7062369908159967e-05,1.3249905489995087e-05,1.8533481027525263e-05,1.3171957856969087e-05,1.64925467626273e-05,1.0670337534446578e-05,1.2359930838282708e-05,9.031064871387837e-06,5.237976506981084e-06,4.445358511544967e-06,9.215750133922788e-06,8.22332707715976e-06,6.851064922523237e-06,5.664033648239897e-06
966,0,1.0418189619856118e-05,9.085258500896006e-06,1.4020203275244378e-05,1.0908575325270681e-05,1.385716760286228e-05,9.401912336796272e-06,8.014752914913755e-06,5.794050491282675e-06,6.813955006591283e-06,4.766159498193774e-06,5.935757637512611e-06,5.44468095182709e-06,8.872750717473926e-06,7.684489761033423e-06,6.801949055937414e-06,5.386249505695098e-06
1020,0,7.491606178050575e-06,6.597889184841833e-06,1.157006305939489e-05,9.326404347855703e-06,1.0490334400992563e-05,7.730899407131751e-06,7.462990479060542e-06,5.307039678814695e-06,8.030008696058652e-06,5.4505612303808626e-06,5.433250050293289e-06,4.60142395852072e-06,6.4178876632094965e-06,5.354061231044425e-06,7.2948662757667994e-06,5.7232435951845706e-06
1075,0,7.1010333263545615e-06,5.847223595611324e-06,8.536529229745193e-06,6.762567550313151e-06,8.597380835739791e-06,7.238443151718828e-06,6.1694144768259174e-06,5.199533409761732e-06,9.292614047421825e-06,7.762966426175939e-06,6.190467053563679e-06,4.37718923213876e-06,5.01377217114376e-06,3.6898194847820543e-06,8.915783767173399e-06,7.966632070116893e-06
1126,0,7.494868981996161e-06,5.921137470693072e-06,1.2705260985401774e-05,8.269552736952178e-06,1.3401067143198325e-05,1.000562895769487e-05,7.1171800177643296e-06,5.907748704356983e-06,8.549794443041343e-06,7.221076876058267e-06,6.218170134859083e-06,4.718980994058163e-06,4.333181035056358e-06,3.279408753161137e-06,7.253296444254908e-06,5.895735175392435e-06
1177,0,6.033124942702316e-06,4.594023182859597e-06,1.2780971005949038e-05,8.147729442253545e-06,1.3559339212045043e-05,1.0201201280856592e-05,8.261534047588056e-06,6.4588230371855895e-06,7.20939527051188e-06,5.9527979381739026e-06,4.585042350973627e-06,3.734041349767471e-06,5.7565087303594e-06,4.613475081395311e-06,5.345398352083597e-06,4.257852969226564e-06
1228,0,3.75048176729133e-06,2.8131710608602717e-06,1.1567133813738683e-05,7.94890430510757e-06,7.096671751335212e-06,5.8523932209925655e-06,7.072527701035829e-06,4.937360775365932e-06,6.952985455556912e-06,6.056544214298891e-06,7.681050418348495e-06,6.075706836474956e-06,4.386713376389831e-06,3.107250812847724e-06,6.390234885558256e-06,5.666883072620277e-06
1279,0,5.327045651175421e-06,3.873239035692678e-06,1.6292565661205053e-05,1.3690818850943795e-05,1.4695251520279438e-05,1.0908605539985104e-05,1.0213526982190326e-05,7.338052467203326e-06,9.54349495743561e-06,8.002213077114215e-06,9.133575958141374e-06,7.851513567403212e-06,5.53168261615241e-06,3.969783673709279e-06,7.300163337237895e-06,5.9996049996908716e-06
1332,0,8.480928253234083e-06,6.4402500195176185e-06,1.3751515621834008e-05,1.0854936865570526e-05,2.1527995700265628e-05,1.7774792465771044e-05,1.5030001828363173e-05,1.221525807387408e-05,1.0781149004022871e-05,8.584845511928478e-06,6.370377925309407e-06,4.673798416430119e-06,7.790458033624883e-06,5.716905301628563e-06,6.094692946515134e-06,4.562341468397817e-06
1384,0,9.452667008857027e-06,6.470358530350382e-06,1.1143812714755967e-05,7.306362484147322e-06,1.804850432641382e-05,1.3398984289125538e-05,1.300351955026953e-05,9.754480199964436e-06,8.113620132711151e-06,5.823950728814329e-06,4.368376829667829e-06,3.2158462589143903e-06,7.160293644953124e-06,5.123399945369864e-06,4.762142569983551e-06,3.7432309014487222e-06
1435,0,7.064399881677422e-06,4.0380256717645605e-06,1.0099913488882279e-05,6.632576600545015e-06,1.218738990462158e-05,1.0158223105466183e-05,7.824142054860384e-06,6.151854701747632e-06,4.691370959457443e-06,3.588377628209874e-06,3.9635514731646625e-06,2.7193281934300865e-06,5.383956582547082e-06,4.009457941507306e-06,4.5441233081976345e-06,3.388682731059676e-06
1486,0,6.5734806594104485e-06,4.5148806235191154e-06,8.507855580895734e-06,7.042426769890674e-06,1.749444767549222e-05,1.4694748199014345e-05,1.0017935897490307e-05,8.128927109821264e-06,4.494417679955783e-06,3.581843054457391e-06,6.466249281576203e-06,4.841183380850506e-06,5.37370959254193e-06,4.286753087895589e-06,7.048305169749957e-06,5.509379802049824e-06
1538,0,7.765067949743033e-06,6.0062286134460295e-06,1.02736496273945e-05,8.458841065709113e-06,1.695948102010401e-05,1.3131491205069109e-05,1.2678477383861555e-05,1.1603383731939325e-05,7.1281251838286625e-06,5.68064490631888e-06,8.567293012330088e-06,7.194922232746448e-06,6.651858360501627e-06,5.089935370076223e-06,7.230566764035359e-06,5.381077849083929e-06
1590,0,7.683056196134454e-06,5.735721234057543e-06,9.413297946566271e-06,7.024794192415506e-06,9.066404465588569e-06,6.000133850948238e-06,9.763423798250716e-06,8.065739161809003e-06,6.7645784874873785e-06,5.190776846539327e-06,6.637320308751745e-06,4.661550829909123e-06,6.329246773185846e-06,3.94366327970093e-06,4.101928700924673e-06,2.6159297773777404e-06
1641,0,7.650753447701568e-06,5.209249356570352e-06,8.054548478870048e-06,5.488987943492767e-06,7.2238161112104156e-06,4.539276827306531e-06,5.714706707004584e-06,4.366292251719457e-06,5.276371114406206e-06,3.6708777894438377e-06,6.2845400825627095e-06,4.685052097320653e-06,5.501822292990071e-06,3.5605259092668644e-06,3.5762139911964415e-06,2.4772255538419186e-06
1692,0,6.205612339319224e-06,4.275478997016202e-06,7.867815825895147e-06,5.291159199221243e-06,6.675169223292845e-06,4.651367754721145e-06,6.504712293324616e-06,5.156363015954327e-06,8.401414893714443e-06,6.6950461711434486e-06,6.548436009814783e-06,5.291862236672085e-06,5.495248094810556e-06,4.2219209569354416e-06,4.966188879165046e-06,3.7521944067690933e-06
1744,0,5.300213301619101e-06,4.324258809860096e-06,9.599272003913473e-06,7.438223156475686e-06,4.716809762195516e-06,3.7942925518475285e-06,8.661073336951692e-06,7.520229264033532e-06,7.677728679272694e-06,6.127890331525084e-06,4.253086979919524e-06,3.4641726262984616e-06,5.54199626752305e-06,4.70450380147779e-06,6.438383747999694e-06,5.366611375490323e-06
1795,0,5.672134951106517e-06,4.907890012463461e-06,9.330239698246139e-06,7.239002291161327e-06,6.351202826288822e-06,4.603548420667753e-06,1.0275246589651219e-05,9.310908680923304e-06,7.142029786709878e-06,4.828214500851848e-06,8.076397757110155e-06,5.9527243111424874e-06,7.659165681718446e-06,6.7991396795854974e-06,9.106122395825077e-06,7.429587995179584e-06
1846,0,6.2274567437375645e-06,5.352292357657338e-06,9.646783697491441e-06,7.403879075617623e-06,1.5740861509287305e-05,1.214049942565324e-05,1.4982276179335064e-05,1.3345912874377985e-05,7.263494029848866e-06,5.2802803989065585e-06,1.076387773153899e-05,9.215283075440473e-06,8.152566870524892e-06,7.303820046489018e-06,8.8401249341277e-06,7.313480139170118e-06
1897,0,6.9826430759919285e-06,5.878562094377908e-06,1.0855067418157191e-05,9.58596654518302e-06,1.8101542164946833e-05,1.5844175713389334e-05,1.5577763162121e-05,1.3276276920441484e-05,4.803166025920985e-06,3.917717757622608e-06,8.49589556705134e-06,6.911351098345339e-06,5.927407826104123e-06,4.7641875418537335e-06,5.837886792755132e-06,4.832271707401513e-06
1948,0,6.4965763381845584e-06,5.578500916548777e-06,1.0373195648198159e-05,9.676448415072559e-06,1.2724846610488336e-05,1.0903705113918771e-05,1.031139346765448e-05,7.600222786616784e-06,9.191301544610266e-06,7.663409456650856e-06,5.961603427047871e-06,5.274702473961465e-06,8.693694933510932e-06,6.4407180025004905e-06,5.147844563405973e-06,3.905817099132528e-06
1999,0,6.024260006509901e-06,4.7610271167288646e-06,1.0935341701026093e-05,9.586618952200748e-06,1.1498325055579046e-05,9.79549294618137e-06,9.445494021897399e-06,7.198609491984296e-06,1.2359577268873724e-05,1.0871626642613606e-05,6.649317168865223e-06,5.449765369653697e-06,1.0812343895140382e-05,8.727570178456974e-06,8.20104641815866e-06,6.0510788147934505e-06
2050,0,1.0071013520550799e-05,8.0116215051072e-06,1.4471916860330251e-05,1.1889584166627281e-05,2.6082849955832193e-05,2.0214147447789343e-05,1.4011483670276116e-05,1.1238699814582985e-05,1.1059472384467269e-05,9.333020680536826e-06,8.190622754434043e-06,5.940436593310145e-06,1.0924015941181937e-05,9.311165940029781e-06,7.929489562142771e-06,5.713644030971031e-06
2102,0,9.894706094067832e-06,8.428368478133368e-06,1.426816485287151e-05,1.1784046616490161e-05,2.9034695623743144e-05,2.3336220279680714e-05,1.852349953930153e-05,1.5162733491605634e-05,7.274220443566711e-06,6.118132165895753e-06,7.380656811386862e-06,5.711328791914222e-06,8.901800405166814e-06,7.340394935350791e-06,4.389308355948888e-06,3.4023719691031907e-06
2155,0,6.137346719139363e-06,5.367140755993248e-06,2.5805538105777006e-05,1.860957953967785e-05,2.570225494966303e-05,2.155678927385684e-05,1.5691176506983677e-05,1.1005224706461685e-05,4.83003772563716e-06,3.897099107045263e-06,4.68169875618399e-06,3.7547271513979566e-06,5.100493238296593e-06,4.298209891478843e-06,6.733245256077527e-06,5.419246086531295e-06
2207,0,5.238189560472183e-06,4.471916962462701e-06,3.312565740968064e-05,2.6347481392128034e-05,2.3686445710810453e-05,1.9514157863277534e-05,1.2572012089052072e-05,9.213436684549111e-06,7.191977519873017e-06,5.539558221098124e-06,7.033598261165416e-06,5.525617845509623e-06,5.4509962228305624e-06,4.568959719547103e-06,7.998708283676762e-06,6.565415194375138e-06
2258,0,4.651405332226955e-06,3.701324957504364e-06,2.420846664753359e-05,1.6557904624600842e-05,1.4808283579805354e-05,1.1666420706103486e-05,1.141236346728457e-05,8.293883659902011e-06,7.03078733028236e-06,5.014604764879699e-06,9.21313327626563e-06,7.815253486224045e-06,6.40965806793929e-06,4.943348262449383e-06,6.731945257389809e-06,5.1435717054951114e-06
2309,0,7.919109014404839e-06,5.787390345163576e-06,2.4047401540497723e-05,1.672708727606618e-05,1.9331100355760802e-05,1.5251476344099834e-05,1.5655123730793228e-05,1.1108411730456603e-05,1.0588285409589248e-05,7.082594064216416e-06,1.0427836617756304e-05,8.788120830429683e-06,8.43857369618913e-06,6.934903357760466e-06,5.528493750594856e-06,4.55647455939214e-06
2360,0,7.621204360057324e-06,5.541960988120243e-06,2.5075599589632894e-05,1.9005251809712206e-05,1.935738408734324e-05,1.524155515271578e-05,1.616755826775447e-05,1.2255733564414267e-05,1.0945888319814057e-05,8.135789367802979e-06,8.565872802984156e-06,6.645632939241361e-06,1.0595392889649172e-05,8.368869214211333e-06,6.512403106138577e-06,5.040095333477498e-06
2413,1,3.99435795830249e-06,2.9665114035177945e-06,1.5484832616132927e-05,1.172467020209123e-05,1.1382875052255435e-05,8.814225168914588e-06,1.2171453913256118e-05,9.749532163387476e-06,5.745422693546046e-06,4.886658659423086e-06,5.466276061598468e-06,4.33126470288103e-06,1.0281791359391337e-05,7.502764320446529e-06,5.779598778048266e-06,4.045700903017081e-06
2464,1,4.804580802113698e-06,4.010087632301004e-06,1.3529769382377898e-05,1.1298207365437373e-05,1.6592671110014193e-05,1.3240015929326734e-05,1.4284735466406209e-05,1.2782971715824925e-05,9.4325376748392e-06,7.953346064850133e-06,4.754231109884484e-06,3.6630892139432524e-06,7.885859222832388e-06,6.570908731035025e-06,5.102604476572092e-06,4.286420608582238e-06
2516,1,7.226680012356154e-06,6.326046155095016e-06,1.54731514285977e-05,1.3644331041667115e-05,1.7999904790338262e-05,1.5228752776452605e-05,1.079249834597474e-05,9.112705480769767e-06,9.505556303764493e-06,8.008492442881295e-06,5.02202323971614e-06,3.967450374383251e-06,5.049261450532474e-06,3.999198545411e-06,5.814388016037525e-06,5.078592031928608e-06
2567,1,7.723108885425763e-06,6.3583354605019696e-06,1.7712927424017495e-05,1.5102403175524339e-05,1.6135188810878804e-05,1.252872371513098e-05,1.0225114229981629e-05,7.5423510024809325e-06,1.0119803942929294e-05,7.5521625256022385e-06,8.95350635081906e-06,7.139770374542896e-06,2.7441884701881678e-06,2.144256570752482e-06,6.270115743645767e-06,5.109789471028685e-06
2618,1,5.382918349007231e-06,4.07055601200578e-06,1.4248248366626085e-05,1.1090066468590401e-05,2.0303183859838777e-05,1.59984788166787e-05,1.0169993773406878e-05,7.404040494799112e-06,1.1835446260242636e-05,9.254468126948783e-06,9.123697968032124e-06,6.768605539521774e-06,4.208146725304238e-06,3.3051751260501887e-06,6.381146625681009e-06,5.252562641912146e-06
2669,1,5.289426845368272e-06,4.454060823713354e-06,1.2031555000791885e-05,9.794982744984379e-06,2.2843356016793247e-05,1.8439980799540686e-05,8.447831595144204e-06,6.437089879566066e-06,8.76366015363893e-06,6.658669760413488e-06,6.252167640477933e-06,4.977316433810307e-06,6.003394885284309e-06,5.154857901163342e-06,4.695612071097408e-06,4.040912179288294e-06
2721,1,9.061338299130625e-06,7.82763361366643e-06,1.2381114999779955e-05,1.0202787015695857e-05,2.0726531558136637e-05,1.675960715140494e-05,1.0985359201077674e-05,9.145144448954574e-06,6.603399196432268e-06,4.39555179876735e-06,4.880624639399816e-06,4.192033632146612e-06,6.4956638501893604e-06,5.5263656371425225e-06,4.623754147506282e-06,3.8359126244567905e-06
2773,1,9.09695395670497e-06,7.975244500043869e-06,1.0834497852986502e-05,9.224973938559228e-06,1.9775409962511953e-05,1.6532441924522205e-05,1.3139758488904514e-05,1.0389089074160244e-05,6.272000911768353e-06,4.590620232795063e-06,6.3401604579886364e-06,5.172330860068814e-06,5.720866660753822e-06,4.506340680744283e-06,5.770902849637769e-06,4.4937396264818595e-06
2824,1,5.722786772624062e-06,4.879133774672891e-06,1.189944165480342e-05,1.0614516985671561e-05,2.3464516057385106e-05,2.1042845334421968e-05,1.5179117677474168e-05,1.140568265048902e-05,5.246222182922234e-06,4.436284789949462e-06,6.306391198907049e-06,5.329396410896433e-06,5.586597558142493e-06,4.51004914494151e-06,5.77785166300307e-06,4.50163762417139e-06
2875,1,5.695551223012858e-06,4.411356739961342e-06,1.5404923556346156e-05,1.3066246320886815e-05,2.4509936765294636e-05,2.2479453838733632e-05,1.268584781098098e-05,9.365213029242534e-06,4.445299822800434e-06,3.573302708058143e-06,3.9456660672598875e-06,3.435484201759048e-06,5.729191074291695e-06,4.65989997101794e-06,5.105469087007576e-06,4.159945406773743e-06
2926,1,6.284519073398395e-06,4.918985500097032e-06,1.8549691433363105e-05,1.5242341639640296e-05,1.9334651229882383e-05,1.6497507440357283e-05,6.936647301864438e-06,5.7816903254379105e-06,3.911054694684151e-06,3.3913761026058663e-06,5.854933702470545e-06,4.249421741088491e-06,7.000412741468879e-06,5.51011386162328e-06,5.929523693577162e-06,4.82889201038254e-06
2977,1,5.894285139672407e-06,4.743660384146187e-06,1.5541421795921835e-05,1.2380074388809477e-05,1.234464467478592e-05,9.588102241150064e-06,6.9974133270390074e-06,5.8318851995176195e-06,6.930275390383751e-06,5.256006736167952e-06,6.470406427697816e-06,4.425174511182877e-06,6.926257342213548e-06,5.4326962293391396e-06,9.070066727856232e-06,7.404919698861741e-06
3028,1,7.414806447656238e-06,6.0111082827975485e-06,1.2032178047119407e-05,1.0098208755650333e-05,1.356519657395151e-05,9.881965026526746e-06,1.2761827274149007e-05,9.833120581497353e-06,7.599854956003961e-06,5.98713057900059e-06,6.69644571174467e-06,4.593582432654565e-06,6.560996106517293e-06,5.060586496254449e-06,8.558685376056168e-06,6.143205433335982e-06
3079,1,9.697800814685503e-06,8.000449996247555e-06,1.2584997090207427e-05,9.975446733356327e-06,1.9655989191775638e-05,1.563847368217374e-05,2.1110712368917754e-05,1.732575647751074e-05,7.3540081638520045e-06,6.2788694409876025e-06,6.883881952316019e-06,5.57736607372063e-06,6.505764896320269e-06,5.298979260769414e-06,4.621538199249435e-06,2.8909945370602053e-06
3130,1,8.942837457047978e-06,7.410834359697833e-06,1.2611255215856142e-05,1.046804707576365e-05,1.8606480005923387e-05,1.5033400000385951e-05,2.0607873057063484e-05,1.5565563507566168e-05,7.659023832367461e-06,6.818966609911987e-06,5.889288019086994e-06,5.126610400920708e-06,8.20308274786724e-06,6.955391418822805e-06,5.091553703834292e-06,3.7497235320812666e-06
3181,1,7.2858479667561805e-06,6.198657076172345e-06,1.0344831111569953e-05,8.401317722405326e-06,1.5927043011440047e-05,1.3583984898023521e-05,1.647743485736816e-05,1.2347816466671873e-05,6.6669652962217526e-06,5.560064273079142e-06,5.967893026126149e-06,4.79338985023376e-06,9.646863034808405e-06,8.408569827167248e-06,6.885308801993152e-06,5.476629461866605e-06
3234,1,6.8390023886508845e-06,5.579995360344512e-06,9.50917361508477e-06,7.129164275759251e-06,1.6843351820692253e-05,1.3775031127086791e-05,1.72349738034095e-05,1.5204675649800662e-05,6.8152104251804676e-06,5.512415181509908e-06,9.26603424105553e-06,7.0934599357921824e-06,9.349071052715874e-06,7.760078702374548e-06,7.936258412406658e-06,6.1975400908337395e-06
3287,1,5.548376658388945e-06,4.552475088032542e-06,9.264642334149435e-06,6.736574236255198e-06,1.6687527779607593e-05,1.0882384839793633e-05,1.59559301321298e-05,1.4157130195336911e-05,5.5589930505700824e-06,4.361810700235243e-06,1.0590391845946222e-05,7.995848718303785e-06,7.703915373616501e-06,5.459018288679082e-06,7.787950178894189e-06,6.1044204870061866e-06
3340,1,5.950482152539952e-06,4.8007773550637155e-06,1.671250960150124e-05,1.2050324371291264e-05,2.109220079650861e-05,1.5527242011305722e-05,1.4218279639311637e-05,1.1923646151973531e-05,5.989546443769333e-06,4.665242872843374e-06,1.0777697649599114e-05,8.538195775347667e-06,4.4929798483236e-06,3.123078744371276e-06,5.972515198617844e-06,4.685768367559753e-06
3391,1,5.195546104769769e-06,3.923111594403945e-06,1.6890170281503723e-05,1.2984681862256043e-05,1.8072580067665094e-05,1.4450732930901658e-05,1.124016094192383e-05,9.380541481005769e-06,8.355958391123324e-06,7.169789409174044e-06,9.304096406741632e-06,7.32821414314873e-06,4.6417127667247255e-06,3.7698600670266127e-06,8.315633252513518e-06,6.3553413607374684e-06
3442,1,4.141229132825798e-06,2.7790510813213835e-06,8.986127076640836e-06,6.9075156830805534e-06,8.73445176755471e-06,6.810010797106735e-06,7.525904112280053e-06,6.005024817356051e-06,8.35270792394491e-06,6.675267300169087e-06,4.345341249572457e-06,2.818489907881135e-06,6.437451082544116e-06,4.662636188103924e-06,9.409909224004078e-06,7.668945181952293e-06
3495,1,6.989596961824883e-06,5.2286333536831486e-06,1.4749222804655417e-05,1.0795273985632504e-05,1.1189789125049337e-05,8.953220099310827e-06,6.960817263690996e-06,5.395141723890981e-06,1.0003282014025623e-05,7.741954414572564e-06,2.3612867782475706e-06,1.0553463933353676e-06,8.565558808000846e-06,6.5014434507173674e-06,1.0612771506207106e-05,8.486930144168264e-06
3547,1,1.1545647182075807e-05,9.84346875494483e-06,1.836297697309541e-05,1.4391495219939873e-05,2.2024399063641535e-05,1.7792721502952105e-05,1.407435415238358e-05,1.0758920341202526e-05,1.1802563721461361e-05,1.037578823220451e-05,3.906368156087484e-06,1.838950523086484e-06,8.7541972157408e-06,7.597669592092378e-06,1.2170329503852008e-05,9.735532051685435e-06
3599,1,1.1536432109362944e-05,9.681703351037796e-06,1.6174519113676864e-05,1.2652348671179521e-05,2.029966837376911e-05,1.4558433742510575e-05,1.3929808942550832e-05,1.0603051413486465e-05,9.619839774294605e-06,8.66122238760798e-06,6.075911178224911e-06,4.196377398819073e-06,6.323693629933145e-06,5.413508526392254e-06,8.794289082002652e-06,6.1700547440496435e-06
3650,1,6.353193794783014e-06,4.74028311060843e-06,1.13181298058181e-05,9.195146146718045e-06,6.097342775217109e-06,5.335388434772188e-06,6.171527502978259e-06,4.814874244129726e-06,6.36525764505626e-06,5.427966582460802e-06,5.9926109738303175e-06,4.392479704750071e-06,5.2085859136000056e-06,3.7657049466163212e-06,6.500205926607141e-06,4.852163727648842e-06
3701,1,7.010720103087809e-06,4.84881876577084e-06,1.4672804957075596e-05,1.1178839711911128e-05,1.3643949207199992e-05,9.232899444745465e-06,1.0617726082807802e-05,7.896865637824945e-06,6.817197064719431e-06,5.022101549981923e-06,7.530161989862385e-06,5.912834435766552e-06,7.677997922679542e-06,5.860993579594395e-06,7.140363585346684e-06,6.108835923939148e-06
3754,1,1.0661899670724365e-05,8.386899975208477e-06,1.692013915156399e-05,1.3202094595235318e-05,1.491776112349958e-05,1.0180059490206624e-05,1.1444279710436095e-05,9.015886211553056e-06,7.1495733516387794e-06,5.32423569574016e-06,9.166330668584292e-06,7.648633729557414e-06,9.546724445086319e-06,8.561944988199992e-06,7.027989326905455e-06,6.374446388019001e-06
3806,1,9.166560050143661e-06,6.949943303535595e-06,1.097691461693505e-05,7.820252784546745e-06,1.0421687241268797e-05,7.6194966000306245e-06,7.320789279356979e-06,5.895977247016266e-06,5.612084901178071e-06,4.32034312666626e-06,8.469876253750864e-06,6.841817618474669e-06,8.737326663869197e-06,7.820345513503174e-06,6.497091389656282e-06,4.9040631279192865e-06
